,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Banjar,ID,-8.19,114.9675,78.4,89,100,3.0,light rain
81,Dikson,RU,73.5069,80.5464,-8.48,100,92,2.89,overcast clouds
82,Laela,TZ,-8.5667,32.05,58.91,97,15,3.38,few clouds
83,Hithadhoo,MV,-0.6,73.0833,82.53,76,54,6.71,broken clouds
84,Kargasok,RU,59.0556,80.8572,26.1,84,16,7.78,few clouds
85,Lagoa,PT,39.05,-27.9833,57.06,66,58,14.97,broken clouds
86,Port Alfred,ZA,-33.5906,26.891,58.17,93,16,1.99,few clouds
87,Tasiilaq,GL,65.6145,-37.6368,32.92,98,100,10.16,light snow
88,Manuk Mangkaw,PH,4.8,119.85,81.84,78,86,9.01,overcast clouds
89,Bulgan,MN,48.8125,103.5347,38.5,52,12,5.26,few clouds
90,Padang,ID,-0.9492,100.3543,75.25,88,88,3.53,heavy intensity rain
91,Victoria,HK,22.2855,114.1577,72.18,78,100,8.99,overcast clouds
92,Mahebourg,MU,-20.4081,57.7,75.25,87,43,13.47,light rain
93,Marystown,CA,47.1666,-55.1483,42.96,99,100,10.54,overcast clouds
94,Yongan,CN,39.6957,113.6871,42.46,86,100,4.29,moderate rain
95,Mitzic,GA,0.7821,11.549,70.14,97,93,2.84,light rain
96,Victor Harbor,AU,-35.5667,138.6167,61.0,85,100,12.95,light rain
97,Preston,GB,53.7667,-2.7167,53.92,91,100,4.21,overcast clouds
98,Biak,ID,-0.9131,122.8766,77.7,76,81,1.95,broken clouds
99,Jamestown,US,42.097,-79.2353,41.02,41,20,7.0,few clouds
100,Plettenberg Bay,ZA,-34.0527,23.3716,58.71,78,6,3.98,clear sky
101,Hollola,FI,61.05,25.4333,36.39,96,88,4.16,overcast clouds
102,Torbay,CA,47.6666,-52.7314,50.29,92,75,8.05,broken clouds
103,Ceres,US,37.5949,-120.9577,77.79,25,0,0.0,clear sky
104,Phalaborwa,ZA,-23.943,31.1411,61.9,89,100,5.91,light rain
