City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Guilin,CN,2022-04-09 02:05:21,25.2819,110.2864,75.2,46,4,3.31
68,Hattiesburg,US,2022-04-09 02:01:51,31.3271,-89.2903,53.53,58,75,0.0
69,Itamarandiba,BR,2022-04-09 02:05:21,-17.8572,-42.8589,63.91,96,8,2.64
70,Thompson,CA,2022-04-09 02:00:46,55.7435,-97.8558,29.64,84,100,6.53
71,Arraial Do Cabo,BR,2022-04-09 02:04:48,-22.9661,-42.0278,76.24,85,100,15.7
72,Clarksburg,US,2022-04-09 02:05:22,39.2807,-80.3445,41.9,89,100,8.05
73,Pevek,RU,2022-04-09 02:05:22,69.7008,170.3133,-6.47,83,100,6.49
74,Saskylakh,RU,2022-04-09 02:05:22,71.9167,114.0833,5.59,97,100,4.36
75,Hermanus,ZA,2022-04-09 02:05:23,-34.4187,19.2345,58.8,79,17,22.39
76,Uarini,BR,2022-04-09 02:05:23,-2.99,-65.1083,74.89,97,100,2.08
77,Zyryanovsk,KZ,2022-04-09 02:05:23,49.7386,84.2719,33.04,98,96,0.94
78,Csepreg,HU,2022-04-09 02:05:24,47.401,16.7088,54.12,92,100,5.88
79,Dagana,MR,2022-04-09 02:05:24,16.5165,-15.5068,79.97,19,5,12.88
80,Sao Jose Da Coroa Grande,BR,2022-04-09 01:58:44,-8.8978,-35.1478,78.39,85,33,1.97
81,Brownsville,US,2022-04-09 02:05:24,25.9018,-97.4975,70.09,49,0,8.05
82,Trujillo,PE,2022-04-09 02:03:22,-8.116,-79.03,66.16,88,20,9.22
83,Ribeira Grande,PT,2022-04-09 02:05:25,38.5167,-28.7,58.48,72,12,32.77
84,Quatre Cocos,MU,2022-04-09 01:57:23,-20.2078,57.7625,75.31,81,57,14.18
85,Hasaki,JP,2022-04-09 02:05:25,35.7333,140.8333,70.29,63,2,22.08
86,Mehamn,NO,2022-04-09 01:58:39,71.0357,27.8492,32.65,89,100,34.07
87,Bathsheba,BB,2022-04-09 01:56:13,13.2167,-59.5167,77.61,83,40,17.27
88,Mataura,NZ,2022-04-09 02:05:26,-46.1927,168.8643,61.03,55,50,6.73
89,Castanos,MX,2022-04-09 02:05:26,26.7833,-101.4167,73.35,16,80,6.73
90,Mount Isa,AU,2022-04-09 01:57:27,-20.7333,139.5,92.97,17,9,4.61
91,Demidov,RU,2022-04-09 02:05:26,55.2706,31.515,34.27,94,68,5.41
92,Khrebtovaya,RU,2022-04-09 02:06:27,56.7032,104.2494,31.51,74,100,2.89
93,Hirara,JP,2022-04-09 02:06:27,24.8,125.2833,70.7,73,79,15.57
94,Luderitz,NA,2022-04-09 02:06:27,-26.6481,15.1594,58.71,81,0,7.07
95,Malazgirt,TR,2022-04-09 02:06:28,39.1427,42.5401,34.86,97,96,3.85
96,Khorramshahr,IR,2022-04-09 02:06:28,30.4397,48.1664,75.15,18,100,6.24
97,Nassau,US,2022-04-09 02:06:28,40.7507,-73.5829,56.05,72,0,10.36
98,Yellowknife,CA,2022-04-09 02:06:29,62.456,-114.3525,38.41,96,100,1.01
99,Nanortalik,GL,2022-04-09 02:06:29,60.1432,-45.2371,26.96,88,40,8.93
100,Carnarvon,AU,2022-04-09 02:06:29,-24.8667,113.6333,77.07,65,75,17.27
101,Herat,AF,2022-04-09 02:06:29,34.5,62.0,64.38,15,46,7.63
102,Barrow,US,2022-04-09 01:57:20,71.2906,-156.7887,-1.73,83,100,15.46
103,Muisne,EC,2022-04-09 02:06:30,0.6,-80.0333,75.9,86,100,3.13
104,Tevriz,RU,2022-04-09 02:06:30,57.509,72.4042,25.7,82,16,6.33
105,Charlestown,AU,2022-04-09 02:01:36,-32.95,151.6667,70.83,91,58,1.01
106,Sao Miguel Do Araguaia,BR,2022-04-09 02:06:31,-13.275,-50.1628,76.95,71,16,2.42
107,Amberley,US,2022-04-09 02:06:31,39.2048,-84.428,41.56,77,75,12.66
108,San Patricio,US,2022-04-09 02:06:31,28.017,-97.5169,70.18,42,0,9.91
109,Qaqortoq,GL,2022-04-09 02:06:32,60.7167,-46.0333,24.44,86,8,1.01
110,Bambous Virieux,MU,2022-04-09 02:06:32,-20.3428,57.7575,74.21,80,66,14.18
111,Avarua,CK,2022-04-09 02:06:32,-21.2078,-159.775,84.25,79,20,13.8
112,Praia Da Vitoria,PT,2022-04-09 02:06:33,38.7333,-27.0667,59.76,85,100,21.05
113,Panaba,MX,2022-04-09 02:02:19,21.2833,-88.2667,71.94,49,94,13.69
114,Bethel,US,2022-04-09 02:02:54,41.3712,-73.414,50.36,65,1,1.95
115,Cabo San Lucas,MX,2022-04-09 01:57:47,22.8909,-109.9124,76.6,71,28,9.46
116,Odessa,UA,2022-04-09 02:03:43,46.4775,30.7326,49.57,72,27,10.13
117,Cidreira,BR,2022-04-09 02:01:06,-30.1811,-50.2056,67.64,88,100,12.15
118,Severo-Kurilsk,RU,2022-04-09 01:59:59,50.6789,156.125,33.08,76,90,11.56
119,Broken Hill,AU,2022-04-09 02:02:22,-31.95,141.4333,72.97,48,87,3.47
120,Guarapari,BR,2022-04-09 02:06:34,-20.6667,-40.4975,76.89,83,23,5.48
121,Myanaung,MM,2022-04-09 02:06:34,18.2833,95.3167,84.7,57,4,1.88
122,Caluquembe,AO,2022-04-09 02:06:34,-13.7833,14.6833,59.49,93,22,3.18
123,Stephenville Crossing,CA,2022-04-09 02:06:35,48.5,-58.4318,35.22,80,100,8.95
124,Sitka,US,2022-04-09 02:06:35,57.0531,-135.33,40.89,65,75,10.36
125,Lazaro Cardenas,MX,2022-04-09 02:06:35,17.9583,-102.2,75.63,78,75,5.44
126,Bandarbeyla,SO,2022-04-09 02:06:36,9.4942,50.8122,78.87,84,81,5.53
127,Puerto Baquerizo Moreno,EC,2022-04-09 02:06:36,-0.9,-89.6,78.49,85,61,6.87
128,Ekibastuz,KZ,2022-04-09 02:06:36,51.6667,75.3667,36.66,60,0,6.67
129,Pochutla,MX,2022-04-09 02:06:37,15.7432,-96.4661,80.82,71,100,2.33
130,San Policarpo,PH,2022-04-09 02:01:04,12.1791,125.5072,77.16,87,100,12.03
131,Lagos,NG,2022-04-09 02:06:10,6.5833,3.75,80.51,85,93,5.64
132,Dikson,RU,2022-04-09 02:06:37,73.5069,80.5464,6.94,93,99,8.7
133,Huarmey,PE,2022-04-09 02:06:37,-10.0681,-78.1522,68.22,84,99,3.74
134,Puerto Ayora,EC,2022-04-09 02:04:26,-0.7393,-90.3518,77.56,88,49,4.79
135,Port Macquarie,AU,2022-04-09 02:06:38,-31.4333,152.9167,71.89,82,70,9.6
136,La Libertad,EC,2022-04-09 02:06:38,-2.2333,-80.9,72.95,87,73,5.55
137,Klaksvik,FO,2022-04-09 02:06:38,62.2266,-6.589,34.72,63,100,21.54
138,Upernavik,GL,2022-04-09 02:06:39,72.7868,-56.1549,7.65,96,100,5.12
139,Trelew,AR,2022-04-09 02:06:39,-43.249,-65.3051,58.37,87,14,17.52
140,Coari,BR,2022-04-09 02:07:39,-4.085,-63.1414,74.55,97,100,2.26
141,Saldanha,ZA,2022-04-09 02:07:40,-33.0117,17.9442,60.33,63,0,16.28
142,Tigil,RU,2022-04-09 02:07:40,57.8,158.6667,28.15,95,100,12.53
143,Lunca Banului,RO,2022-04-09 02:07:40,46.595,28.1683,53.19,67,41,5.86
144,The Valley,AI,2022-04-09 02:07:41,18.217,-63.0578,78.1,78,40,12.66
145,Kautokeino,NO,2022-04-09 02:07:41,69.0125,23.0412,22.96,95,100,18.12
146,Aykhal,RU,2022-04-09 02:07:41,66.0,111.5,16.92,90,93,4.83
147,Dhidhdhoo,MV,2022-04-09 02:07:42,6.8833,73.1,82.47,73,100,5.21
148,Khandyga,RU,2022-04-09 02:07:42,62.6667,135.6,23.81,89,100,1.86
149,Mubi,NG,2022-04-09 02:07:43,10.2676,13.2644,82.62,43,91,2.17
150,Mokrousovo,RU,2022-04-09 02:07:43,55.8103,66.7653,31.03,89,93,2.8
151,Joshimath,IN,2022-04-09 02:07:43,30.5667,79.5667,63.68,40,1,3.76
152,Sultanpur,IN,2022-04-09 02:07:43,26.2667,82.0667,86.13,11,0,3.6
153,Parkes,AU,2022-04-09 02:07:44,-33.1333,148.1833,62.35,91,100,2.28
154,Turbana,CO,2022-04-09 02:07:44,10.2717,-75.4422,79.61,84,100,8.66
155,Santiago De Cao,PE,2022-04-09 02:07:44,-7.9589,-79.2392,66.33,88,20,9.22
156,Caravelas,BR,2022-04-09 01:58:35,-17.7125,-39.2481,76.21,84,2,4.59
157,Grand Gaube,MU,2022-04-09 02:07:45,-20.0064,57.6608,74.37,89,46,5.99
158,Xam Nua,LA,2022-04-09 02:07:45,20.4197,104.0439,75.11,40,1,1.39
159,Hammerfest,NO,2022-04-09 02:07:45,70.6634,23.6821,32.45,86,100,33.38
160,Vila Do Maio,CV,2022-04-09 02:07:46,15.1333,-23.2167,74.19,79,22,17.4
161,Jacareacanga,BR,2022-04-09 02:07:46,-6.2222,-57.7528,74.16,99,100,1.77
162,Abay,KZ,2022-04-09 02:07:46,49.6311,72.8539,32.38,78,11,5.86
163,Ulaangom,MN,2022-04-09 02:07:47,49.9811,92.0667,42.64,35,0,5.26
164,Hami,CN,2022-04-09 02:07:47,42.8,93.45,65.48,28,100,13.87
165,Passira,BR,2022-04-09 02:07:47,-7.995,-35.5806,72.66,95,33,3.15
166,Arlit,NE,2022-04-09 02:07:48,18.7369,7.3853,84.88,6,0,9.06
167,Margate,GB,2022-04-09 01:58:39,51.3813,1.3862,40.69,78,100,3.0
168,Xining,CN,2022-04-09 02:05:32,36.6167,101.7667,53.46,19,0,0.13
169,Fayaoue,NC,2022-04-09 02:07:49,-20.65,166.5333,82.09,74,6,16.2
170,Manuk Mangkaw,PH,2022-04-09 02:07:49,4.8,119.85,82.67,74,100,5.61
171,Severo-Yeniseyskiy,RU,2022-04-09 02:07:49,60.3725,93.0408,26.76,93,100,3.02
172,Laguna,US,2022-04-09 02:04:23,38.421,-121.4238,84.49,38,0,9.22
173,Lavrentiya,RU,2022-04-09 02:07:50,65.5833,-171.0,4.17,82,100,2.35
174,Douglas,US,2022-04-09 02:07:50,41.3,-96.167,45.75,33,0,6.91
175,Nieuw Amsterdam,SR,2022-04-09 02:07:50,5.8833,-55.0833,79.02,89,100,8.03
176,Dayong,CN,2022-04-09 02:07:51,25.0209,118.2898,74.37,40,0,3.76
177,Batagay,RU,2022-04-09 02:07:51,67.6333,134.6333,15.08,86,100,3.87
178,Pisco,PE,2022-04-09 02:04:54,-13.7,-76.2167,66.25,88,0,8.05
179,Kaitangata,NZ,2022-04-09 02:02:19,-46.2817,169.8464,62.13,54,28,10.04
180,Petrovskoye,RU,2022-04-09 02:07:52,57.0104,39.2693,42.39,94,100,15.03
181,Banikoara,BJ,2022-04-09 02:07:52,11.2985,2.4386,86.45,38,10,4.9
182,Shingu,JP,2022-04-09 02:07:52,33.7333,135.9833,69.33,44,0,7.85
183,Tevaitoa,PF,2022-04-09 02:07:53,-16.7833,-151.5,82.6,73,100,17.05
184,Husavik,IS,2022-04-09 02:07:53,66.0449,-17.3389,20.05,84,37,5.21
185,Alexandria,EG,2022-04-09 02:08:53,31.2156,29.9553,59.77,83,0,5.7
186,Twin Falls,US,2022-04-09 02:04:08,42.3505,-114.6445,63.93,36,0,6.91
187,Nabire,ID,2022-04-09 02:08:54,-3.3667,135.4833,77.56,91,100,2.3
188,Jumla,NP,2022-04-09 02:08:54,29.2747,82.1838,59.49,39,0,0.25
189,Ferkessedougou,CI,2022-04-09 02:08:54,9.6,-5.2,82.17,58,17,9.17
190,Kushiro,JP,2022-04-09 02:08:55,42.975,144.3747,39.87,84,91,17.98
191,Salta,AR,2022-04-09 02:08:55,-24.7859,-65.4117,69.58,68,99,1.01
192,Mandera,KE,2022-04-09 02:08:55,3.9366,41.867,81.43,61,100,14.45
193,Taltal,CL,2022-04-09 02:06:33,-25.4,-70.4833,64.92,70,3,5.23
